{'number': 225, 'schoenflies': 'Oh^5', 'international': 'Fm-3m', 'pointgroup_schoenflies': 'Oh', 'pointgroup_international': 'm-3m', 'lattice_type': 'Cubic'}   SnTe   mp-num    N_points: 5000 

         energy                dos          total_dos 
      3.4090000           1.6850000         15.7900000     
      3.4110000           1.6850000         15.7900000     
      3.4120000           1.6840000         15.8000000     
      3.4140000           1.6840000         15.8000000     
      3.4150000           1.6840000         15.8000000     
      3.4170000           1.6830000         15.8000000     
      3.4190000           1.6830000         15.8100000     
      3.4200000           1.6830000         15.8100000     
      3.4220000           1.6820000         15.8100000     
      3.4230000           1.6820000         15.8200000     
      3.4250000           1.6810000         15.8200000     
      3.4270000           1.6800000         15.8200000     
      3.4280000           1.6800000         15.8200000     
      3.4300000           1.6790000         15.8300000     
      3.4310000           1.6780000         15.8300000     
      3.4330000           1.6780000         15.8300000     
      3.4350000           1.6770000         15.8300000     
      3.4360000           1.6760000         15.8400000     
      3.4380000           1.6750000         15.8400000     
      3.4390000           1.6740000         15.8400000     
      3.4410000           1.6730000         15.8500000     
      3.4430000           1.6720000         15.8500000     
      3.4440000           1.6710000         15.8500000     
      3.4460000           1.6700000         15.8500000     
      3.4470000           1.6690000         15.8600000     
      3.4490000           1.6680000         15.8600000     
      3.4510000           1.6680000         15.8600000     
      3.4520000           1.6680000         15.8600000     
      3.4540000           1.6680000         15.8700000     
      3.4550000           1.6680000         15.8700000     
      3.4570000           1.6680000         15.8700000     
      3.4590000           1.6680000         15.8700000     
      3.4600000           1.6680000         15.8800000     
      3.4620000           1.6680000         15.8800000     
      3.4630000           1.6680000         15.8800000     
      3.4650000           1.6680000         15.8900000     
      3.4670000           1.6680000         15.8900000     
      3.4680000           1.6680000         15.8900000     
      3.4700000           1.6680000         15.8900000     
      3.4710000           1.6680000         15.9000000     
      3.4730000           1.6680000         15.9000000     
      3.4750000           1.6670000         15.9000000     
      3.4760000           1.6670000         15.9000000     
      3.4780000           1.6670000         15.9100000     
      3.4790000           1.6670000         15.9100000     
      3.4810000           1.6670000         15.9100000     
      3.4830000           1.6670000         15.9100000     
      3.4840000           1.6670000         15.9200000     
      3.4860000           1.6670000         15.9200000     
      3.4870000           1.6670000         15.9200000     
      3.4890000           1.6670000         15.9300000     
      3.4910000           1.6670000         15.9300000     
      3.4920000           1.6660000         15.9300000     
      3.4940000           1.6660000         15.9300000     
      3.4950000           1.6660000         15.9400000     
      3.4970000           1.6660000         15.9400000     
      3.4990000           1.6660000         15.9400000     
      3.5000000           1.6660000         15.9400000     
      3.5020000           1.6650000         15.9500000     
      3.5030000           1.6650000         15.9500000     
      3.5050000           1.6650000         15.9500000     
      3.5070000           1.6650000         15.9500000     
      3.5080000           1.6650000         15.9600000     
      3.5100000           1.6650000         15.9600000     
      3.5110000           1.6640000         15.9600000     
      3.5130000           1.6640000         15.9700000     
      3.5150000           1.6640000         15.9700000     
      3.5160000           1.6640000         15.9700000     
      3.5180000           1.6630000         15.9700000     
      3.5190000           1.6630000         15.9800000     
      3.5210000           1.6630000         15.9800000     
