{'number': 225, 'schoenflies': 'Oh^5', 'international': 'Fm-3m', 'pointgroup_schoenflies': 'Oh', 'pointgroup_international': 'm-3m', 'lattice_type': 'Cubic'}   SnTe   mp-num    N_points: 5000 

         energy                dos          total_dos 
      3.2000000           1.5660000         15.5600000     
      3.2020000           1.5650000         15.5600000     
      3.2030000           1.5650000         15.5600000     
      3.2050000           1.5640000         15.5700000     
      3.2060000           1.5640000         15.5700000     
      3.2080000           1.5630000         15.5700000     
      3.2100000           1.5630000         15.5700000     
      3.2110000           1.5620000         15.5800000     
      3.2130000           1.5610000         15.5800000     
      3.2140000           1.5600000         15.5800000     
      3.2160000           1.5590000         15.5800000     
      3.2180000           1.5580000         15.5900000     
      3.2190000           1.5570000         15.5900000     
      3.2210000           1.5560000         15.5900000     
      3.2220000           1.5550000         15.5900000     
      3.2240000           1.5530000         15.6000000     
      3.2260000           1.5520000         15.6000000     
      3.2270000           1.5510000         15.6000000     
      3.2290000           1.5500000         15.6000000     
      3.2300000           1.5490000         15.6100000     
      3.2320000           1.5480000         15.6100000     
      3.2340000           1.5470000         15.6100000     
      3.2350000           1.5470000         15.6100000     
      3.2370000           1.5470000         15.6200000     
      3.2380000           1.5460000         15.6200000     
      3.2400000           1.5450000         15.6200000     
      3.2420000           1.5440000         15.6200000     
      3.2430000           1.5440000         15.6300000     
      3.2450000           1.5430000         15.6300000     
      3.2460000           1.5420000         15.6300000     
      3.2480000           1.5420000         15.6300000     
      3.2500000           1.5410000         15.6400000     
      3.2510000           1.5400000         15.6400000     
      3.2530000           1.5390000         15.6400000     
      3.2540000           1.5390000         15.6400000     
      3.2560000           1.5390000         15.6500000     
      3.2580000           1.5380000         15.6500000     
      3.2590000           1.5380000         15.6500000     
      3.2610000           1.5380000         15.6500000     
      3.2620000           1.5370000         15.6600000     
      3.2640000           1.5370000         15.6600000     
      3.2660000           1.5370000         15.6600000     
      3.2670000           1.5360000         15.6600000     
      3.2690000           1.5360000         15.6600000     
      3.2700000           1.5360000         15.6700000     
      3.2720000           1.5350000         15.6700000     
      3.2740000           1.5350000         15.6700000     
      3.2750000           1.5340000         15.6700000     
      3.2770000           1.5340000         15.6800000     
      3.2780000           1.5330000         15.6800000     
      3.2800000           1.5330000         15.6800000     
      3.2820000           1.5320000         15.6800000     
      3.2830000           1.5320000         15.6900000     
      3.2850000           1.5310000         15.6900000     
      3.2860000           1.5310000         15.6900000     
      3.2880000           1.5300000         15.6900000     
      3.2900000           1.5300000         15.7000000     
      3.2910000           1.5290000         15.7000000     
      3.2930000           1.5290000         15.7000000     
      3.2940000           1.5280000         15.7000000     
      3.2960000           1.5270000         15.7100000     
      3.2980000           1.5270000         15.7100000     
      3.2990000           1.5260000         15.7100000     
      3.3010000           1.5250000         15.7100000     
      3.3020000           1.5240000         15.7200000     
      3.3040000           1.5240000         15.7200000     
      3.3060000           1.5230000         15.7200000     
      3.3070000           1.5220000         15.7200000     
      3.3090000           1.5210000         15.7300000     
      3.3110000           1.5200000         15.7300000     
